code|text
1003680007|Human immunodeficiency virus Centers for Disease Control and Prevention undifferentiated type (finding)
1003681006|Human immunodeficiency virus Centers for Disease Control and Prevention stage 0 (finding)
1003682004|Human immunodeficiency virus Centers for Disease Control and Prevention stage 1 (finding)
1003683009|Human immunodeficiency virus Centers for Disease Control and Prevention stage 2 (finding)
1003684003|Human immunodeficiency virus Centers for Disease Control and Prevention stage 3 (finding)
1003685002|Human immunodeficiency virus Centers for Disease Control and Prevention stage unknown (finding)
1003693002|Transperitoneal migration of ovum (finding)
1003694008|Transperitoneal migration of spermatozoa (finding)
1003695009|Transperitoneal migration of zygote (finding)
1003701003|Transuterine migration of ovum (finding)
1003702005|Transuterine migration of zygote (finding)
1003704006|Agenesis of metacarpal bone (disorder)
1003721002|Pain of joint of knee (finding)
1003722009|Pain of knee region (finding)
1003723004|Flexion contracture of proximal interphalangeal joints of index finger and middle finger and ring finger and little finger (disorder)
1003724005|Flexion contracture of proximal interphalangeal joint of ring finger (disorder)
1003726007|Flexion contracture of proximal interphalangeal joint of little finger (disorder)
1003728008|Fetal disorder due to maternal hypertension (disorder)
1003729000|Fetal disorder due to maternal pre-eclampsia (disorder)
1003730005|Neonatal disorder due to maternal hypertension (disorder)
1003737008|Flexion contracture of distal interphalangeal joint of index finger (disorder)
1003738003|Flexion contracture of distal interphalangeal joint of middle finger (disorder)
1003739006|Flexion contracture of distal interphalangeal joint of ring finger (disorder)
1003740008|Flexion contracture of interphalangeal joint of finger (disorder)
1003741007|Flexion contracture of joint of finger (disorder)
1003742000|Flexion contracture of metacarpophalangeal joint of index finger (disorder)
1003743005|Flexion contracture of metacarpophalangeal joint of middle finger (disorder)
1003744004|Flexion contracture of metacarpophalangeal joint of ring finger (disorder)
1003745003|Flexion contracture of metacarpophalangeal joint of little finger (disorder)
1003746002|Flexion contracture of proximal interphalangeal joint of index finger (disorder)
1003747006|Flexion contracture of proximal interphalangeal joint of middle finger (disorder)
1003748001|Flexion contracture of carpometacarpal joint of thumb (disorder)
1003749009|Flexion contracture of interphalangeal joint of thumb (disorder)
1003750009|Flexion contracture of metacarpophalangeal joint of thumb (disorder)
1003755004|Allergy to Hevea brasiliensis latex protein (finding)
1003756003|Hevea brasiliensis latex protein-induced angioedema-urticaria (disorder)
1003757007|Allergic reaction caused by Hevea brasiliensis latex protein (disorder)
1003758002|Anaphylaxis caused by Hevea brasiliensis latex protein (disorder)
1003772006|Normal flora of pharynx (finding)
1003773001|Traumatic hemarthrosis of glenohumeral joint (disorder)
1003774007|No known Hevea brasiliensis latex allergy (situation)
1003778005|Flexion contracture of distal interphalangeal joint of little finger (disorder)
1003796001|Transuterine migration (finding)
1003797005|Transperitoneal migration (finding)
1003841002|Remnant of vitelline vein (disorder)
1003842009|Renal tubular dysgenesis caused by drug (disorder)
1003847003|Pyruvate dehydrogenase phosphatase deficiency (disorder)
1003848008|Recoarctation of aorta following procedure (disorder)
1003849000|Pyruvate dehydrogenase complex E2 subunit deficiency (disorder)
1003850000|Pyruvate dehydrogenase complex E1-alpha subunit deficiency (disorder)
1003851001|Pyruvate dehydrogenase complex E1 beta subunit deficiency (disorder)
1003858007|Rhizomelic chondrodysplasia punctata type 3 (disorder)
1003860009|Rhizomelic chondrodysplasia punctata type 2 (disorder)
1003861008|Renal tubular dysgenesis due to twin to twin transfusion (disorder)
1003862001|Rhizomelic chondrodysplasia punctata type 1 (disorder)
1003863006|Stenosis of truncal valve following procedure (disorder)
1003864000|Proximal duplication of long arm of chromosome 5 (disorder)
1003865004|Proximal duplication of long arm of chromosome 6 (disorder)
1003866003|Proximal duplication of long arm of chromosome 3 (disorder)
1003867007|Proximal duplication of long arm of chromosome 4 (disorder)
1003868002|Proximal duplication of long arm of chromosome 18 (disorder)
1003869005|Proximal duplication of long arm of chromosome 2 (disorder)
1003870006|Uniparental disomy of paternal origin of chromosome 4 (disorder)
1003871005|Uniparental disomy of paternal origin of chromosome 15 (disorder)
1003872003|Uniparental disomy of paternal origin of chromosome 14 (disorder)
1003873008|Uniparental disomy of paternal origin of chromosome 11 (disorder)
1003874002|Dilatation of neo-ascending aorta following procedure (disorder)
1003875001|Proximal duplication of long arm of chromosome 17 (disorder)
1003876000|Proximal duplication of long arm of chromosome 12 (disorder)
1003877009|Pfeiffer syndrome type 1 (disorder)
1003878004|Proximal duplication of long arm of chromosome 16 (disorder)
1003879007|Megalourethra of spongiose portion of urethra (disorder)
1003880005|Proximal duplication of long arm of chromosome 10 (disorder)
1003881009|Pelizaeus-Merzbacher disease in female carrier (disorder)
1003882002|Proximal duplication of long arm of chromosome 11 (disorder)
1003883007|Proximal duplication of short arm of chromosome 9 (disorder)
1003884001|Pulverulent cataract (disorder)
1003885000|Proximal duplication of short arm of chromosome 7 (disorder)
1003886004|Proximal duplication of short arm of chromosome 8 (disorder)
1003887008|Proximal duplication of short arm of chromosome 3 (disorder)
1003888003|Proximal duplication of short arm of chromosome 6 (disorder)
1003889006|Proximal duplication of short arm of chromosome 2 (disorder)
1003890002|Proximal duplication of long arm of chromosome 9 (disorder)
1003891003|Proximal duplication of short arm of chromosome 1 (disorder)
1003892005|Proximal duplication of long arm of chromosome 7 (disorder)
1003893000|Proximal duplication of long arm of chromosome 8 (disorder)
1003894006|Proximal deletion of long arm of chromosome 8 (disorder)
1003895007|Proximal deletion of long arm of chromosome 9 (disorder)
1003896008|Proximal deletion of long arm of chromosome 6 (disorder)
1003897004|Proximal deletion of long arm of chromosome 7 (disorder)
1003898009|Proximal deletion of long arm of chromosome 5 (disorder)
1003899001|Proximal deletion of long arm of chromosome 3 (disorder)
1003900006|Proximal deletion of long arm of chromosome 4 (disorder)
1003901005|Proximal deletion of long arm of chromosome 18 (disorder)
1003902003|Proximal deletion of long arm of chromosome 2 (disorder)
1003903008|Proximal deletion of long arm of chromosome 16 (disorder)
1003904002|Proximal deletion of long arm of chromosome 17 (disorder)
1003905001|Proximal duplication of chromosome 21 (disorder)
1003906000|Proximal duplication of long arm of chromosome 1 (disorder)
1003907009|Proximal duplication of chromosome 14 (disorder)
1003908004|Proximal duplication of chromosome 15 (disorder)
1003909007|Proximal duplication of chromosome 13 (disorder)
1003910002|Proximal deletion of short arm of chromosome 8 (disorder)
1003911003|Proximal deletion of short arm of chromosome 9 (disorder)
1003912005|Proximal deletion of short arm of chromosome 6 (disorder)
1003913000|Proximal deletion of short arm of chromosome 7 (disorder)
1003914006|Proximal deletion of short arm of chromosome 1 (disorder)
1003915007|Proximal deletion of short arm of chromosome 3 (disorder)
1003916008|Pfeiffer syndrome type 2 (disorder)
1003917004|Secondary congenital hyperplasia of lung (disorder)
1003918009|Pfeiffer syndrome type 3 (disorder)
1003919001|Acquired stenosis of common atrioventricular valve following procedure (disorder)
1003920007|Sabinas brittle hair syndrome (disorder)
1003921006|Sclerocornea of bilateral corneas (disorder)
1003922004|Rothmund Thomson syndrome type 1 (disorder)
1003923009|Rothmund Thomson syndrome type 2 (disorder)
1003929008|Proximal deletion of long arm of chromosome 11 (disorder)
1003930003|Proximal deletion of long arm of chromosome 12 (disorder)
1003931004|Proximal deletion of long arm of chromosome 10 (disorder)
1003932006|Proximal deletion of chromosome 21 (disorder)
1003933001|Proximal deletion of long arm of chromosome 1 (disorder)
1003934007|Proximal deletion of chromosome 14 (disorder)
1003935008|Proximal deletion of chromosome 15 (disorder)
1003936009|Primary congenital hyperplasia of lung (disorder)
1003937000|Proximal deletion of chromosome 13 (disorder)
1003939002|Polydactyly of bilateral index fingers (disorder)
1004000003|Serratia marcescens or Serratia ureilytica (finding)
1004003001|Small epiphysis of middle phalanx of finger (finding)
1004004007|Primary tocophobia (finding)
1004005008|Secondary tocophobia (finding)
1004006009|World Health Organization human immunodeficiency virus infection clinical stage (finding)
1004007000|Fetal disorder due to and following fetal blood sampling (disorder)
1004011006|Neonatal disorder due to and following fetal blood sampling (disorder)
1004012004|Fetal disorder due to and following operative procedure on fetus (disorder)
1004013009|Neonatal disorder due to and following operative procedure on fetus (disorder)
1004014003|Fetal disorder due to and following sampling of chorionic villus (disorder)
1004015002|Neonatal disorder due to and following sampling of chorionic villus (disorder)
1004016001|Fetal disorder due to and following amniocentesis (disorder)
1004017005|Neonatal disorder due to and following amniocentesis (disorder)
1004018000|Neonatal disorder due to and following operative procedure on mother (disorder)
1004019008|Fetal disorder due to and following operative procedure on mother (disorder)
1004020002|Fetal disorder due to maternal respiratory disease (disorder)
1004021003|Neonatal disorder due to maternal respiratory disease (disorder)
1004022005|Fetal disorder due to chronic maternal respiratory disease (disorder)
1004023000|Neonatal disorder due to chronic maternal respiratory disease (disorder)
1004024006|Fetal disorder due to maternal renal disease (disorder)
1004025007|Neonatal disorder due to maternal renal disease (disorder)
1004026008|Fetal disorder due to maternal disorder of urinary tract (disorder)
1004027004|Neonatal disorder due to maternal disorder of urinary tract (disorder)
1004050005|Flexion contracture of metatarsophalangeal joint of great toe (disorder)
1004051009|Flexion contracture of metatarsophalangeal joint of second toe (disorder)
1004052002|Flexion contracture of metatarsophalangeal joint of third toe (disorder)
1004053007|Flexion contracture of metatarsophalangeal joint of fourth toe (disorder)
1004054001|Flexion contracture of metatarsophalangeal joint of fifth toe (disorder)
1004055000|Flexion contracture of distal interphalangeal joint of second toe (disorder)
1004056004|Flexion contracture of distal interphalangeal joint of third toe (disorder)
